participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,1.0103001594543457,0.0,-6.713421594449111e-05,0.5609790086746216,0.5609790086746216,0.5438022017478943,145,0,0.0,0.0,0.0
25,0.0,1.0,0.5,0.5144548952579502,0.08895015716552734,0.0005131481066027951,0.2196313773884493,0.2196313773884493,0.219443634800289,51,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0.5862998962402344,8.108699321746826,-0.0008444249277452462,0.1621140301728449,0.1621140301728449,0.14002887401405426,229,0,0.0,0.0,0.0
4,1.0,1.0,1.0,0.2739996910095215,109.95940279960632,-0.0018732292111884683,-0.39494481682777405,-0.39494481682777405,-0.3860437273979187,112,1,13.0,3.679839889594338,9.76685447545839
24,1.0,1.0,1.0,0.28064990043640137,193.39725303649902,-0.006383314500030472,-1.2515420449548076,-1.2515420449548076,-1.2186219512507581,33,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0.0,308.2310814857483,-0.0023105678960491823,-1.8640731573104858,-1.8640731573104858,-1.8224895000457764,0,0,0.0,0.0,0.0
17,1.0,1.0,0.5,0.7177000045776367,0.037600040435791016,-0.0004504290328571669,0.2873595356941223,0.2873595356941223,0.2812369763851166,184,0,0.0,0.0,0.0
6,1.0,1.0,0.5,0.09725022315979004,365.9539158344269,-0.005373062191515921,-1.491838056834138,-1.491838056834138,-1.4826025457485863,27,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0.4939999580383301,1.0974006652832031,0.0008359852184684413,0.17815814912319183,0.17815814912319183,0.18938690423965454,335,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,0.8399496078491211,0.12750005722045898,0.0005914963499116313,0.34370601177215576,0.34370601177215576,0.3533998429775238,196,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,0.14225006103515625,279.45422410964966,-0.006033527097154111,-1.186058521270752,-1.186058521270752,-1.1773978471755981,13,0,0.0,0.0,0.0
16,1.0,1.0,0.5,0.393049955368042,2.592452049255371,0.0009707427551143503,0.12225835770368576,0.12225835770368576,0.12204564362764359,240,1,9.0,2.88468171291837,16.958821581270815
18,1.0,1.0,0.5,1.2094557846293732,21.205120226126052,-0.0007399450348125824,0.0508676271478669,0.0508676271478669,0.03256872257797489,59,0,0.0,0.0,0.0
22,1.0,1.0,1.0,0.21219992637634277,97.70850086212158,-0.007097708940137792,-0.6787312498279646,-0.6787312498279646,-0.679271745710628,178,1,7.5,5.828131960499238,12.531041917748908
