participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
9,0.0,0.0,,0.4990999698638916,1.6117502450942993,-0.0018077775000162285,0.05662023253133651,0.05662023253133651,0.03938947231990073,288,8,133,40.625,2,26,24.0
17,1.0,0.0,,0.13049983978271484,259.70065116882324,-0.0027099110917686185,-0.94171142578125,-0.94171142578125,-0.9326280355453491,36,10,57,17.8,0,0,0.0
19,1.0,0.0,,1.548100471496582,0.25934839248657227,0.0004897514068735935,0.6693406105041504,0.6693406105041504,0.6469916701316833,186,14,29,14.142857142857142,0,0,0.0
19,1.0,0.0,,0.0,252.78736782073975,-0.00022870796964498692,-1.1850991249084473,-1.1850991249084473,-1.1471914052963257,0,8,26,15.125,0,0,0.0
17,1.0,0.0,,0.1727999448776245,70.29325505774072,-0.0005029775365824123,-0.4019761785071771,-0.4019761785071771,-0.38194540017949014,4,14,26,13.071428571428571,1,46,46.0
8,1.0,0.0,,0.5871503353118896,5.473201036453247,0.0008163224069271205,0.14875923097133636,0.14875923097133636,0.14230655133724213,256,13,65,20.615384615384617,0,0,0.0
14,0.0,0.0,,0.6728498935699463,4.134400367736816,-0.0009430092180715544,0.28870982215518043,0.28870982215518043,0.26567074039098243,206,8,119,40.375,2,17,13.0
23,0.0,0.0,,0.3203001022338867,64.83887696266174,0.0012083746156224826,-0.2215917855501175,-0.2215917855501175,-0.2215912789106369,355,14,137,20.071428571428573,0,0,0.0
23,0.0,0.0,,0.0,150.5876580476761,0.0011804788319590871,-0.7401008151826405,-0.7401008151826405,-0.7281262799213997,0,7,42,17.714285714285715,1,56,56.0
16,0.0,0.0,,1.0126500129699707,7.176196813583374,-0.0029838808891955383,0.32222655415534973,0.32222655415534973,0.2925913333892822,158,9,38,14.777777777777779,0,0,0.0
19,0.0,0.0,,0.47804999351501465,2.485800266265869,-7.608281084082608e-05,0.09518823503446178,0.09518823503446178,0.10835467050495627,86,19,33,11.263157894736842,1,18,18.0
24,0.0,0.0,,0.2752000093460083,14.932950854301453,0.0004399816122018412,0.010146599356867686,0.010146599356867686,-0.00036658325057098185,313,13,52,22.076923076923077,1,21,21.0
21,0.0,0.0,,0.8479499816894531,35.57865393161774,-0.004601138673306037,0.014155812958041494,0.014155812958041494,0.009980059580997685,162,7,84,39.285714285714285,2,23,15.5
3,0.0,0.0,,0.5183501243591309,3.7576000690460205,-0.005139092932495692,-0.05509863280448589,-0.05509863280448589,-0.10416839570196683,46,13,39,17.307692307692307,2,136,75.0
6,0.0,0.0,,0.41140007972717285,15.022998500895755,0.0010202986158375676,0.01193093819444587,0.01193093819444587,0.016150305905371115,291,15,39,16.066666666666666,1,30,30.0
3,0.0,0.0,,0.007050275802612305,17.41544461250305,-0.0004745459302904674,-0.27810582059438155,-0.27810582059438155,-0.2818976796191672,1,14,37,17.571428571428573,1,11,11.0
13,0.0,0.0,,0.31134986877441406,12.657153606414795,-0.00504424236873713,-0.6421193480491638,-0.6421193480491638,-0.6287004351615906,102,11,66,28.727272727272727,0,0,0.0
16,0.0,0.0,,0.5564501285552979,11.73604929447174,-0.005582385154548519,-0.2084933369099593,-0.2084933369099593,-0.21502937917820225,243,11,89,22.0,1,38,38.0
25,0.0,0.0,,0.2863110767470465,4.479050040245056,-0.002858042698162812,-0.20630781139646256,-0.20630781139646256,-0.27155462942680453,169,16,38,14.875,1,17,17.0
