participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
25,0.0,0.0,,0.2960999011993408,0.13445019721984863,0.0005033149967887651,0.0946829706304687,0.0946829706304687,0.09864808459614599,222,7,45,27.285714285714285,1,42,42.0
25,0.0,0.0,,0.592181704261086,0.9608145882101624,-0.00023518822762989779,0.16847530900174557,0.16847530900174557,0.15718362999047397,62,4,21,13.25,2,19,17.5
22,0.0,0.0,,0.0025501251220703125,17.80339503288269,-0.0005046946265064017,-0.1988387554883957,-0.1988387554883957,-0.19266660511493683,7,1,153,153.0,0,0,0.0
19,0.0,0.0,,0.1656498908996582,5.52769923210144,-0.0030092826273524,-0.3460019052280152,-0.3460019052280152,-0.31535425656371646,38,9,39,17.11111111111111,1,15,15.0
23,0.0,0.0,,0.4678001403808594,2.7184505462646484,0.0007126482697863183,0.1431512087583542,0.1431512087583542,0.1351499855518341,176,9,20,11.555555555555555,0,0,0.0
23,0.0,0.0,,1.0101494789123535,2.529153823852539,0.004732288507902595,0.5023943185806274,0.5023943185806274,0.4557465612888336,183,7,15,9.428571428571429,0,0,0.0
5,0.0,0.0,,0.3383500576019287,0.6368999481201172,-0.0007010115985231746,0.10339518036017438,0.10339518036017438,0.12133618168447212,208,3,168,69.0,1,28,28.0
15,1.0,0.0,,0.03820013999938965,156.24612683057785,-0.0049467909000358,-1.1196802846993072,-1.1196802846993072,-1.069128933151563,46,11,35,14.181818181818182,1,39,39.0
15,0.0,0.0,,0.6194500923156738,28.458194732666016,-0.0045266689914915895,-0.2273743599653244,-0.2273743599653244,-0.20075993239879608,63,11,32,15.181818181818182,0,0,0.0
10,1.0,0.0,,0.4963500499725342,20.972105741500854,0.0019117041505547106,-0.06320595439476304,-0.06320595439476304,-0.05982905247854807,226,11,50,14.363636363636363,1,20,20.0
17,1.0,0.0,,0.3336002826690674,1.9704978466033936,-0.0014208986091723465,0.015459587797522545,0.015459587797522545,0.01326675433665514,50,5,47,26.4,0,0,0.0
14,0.0,0.0,,0.42439985275268555,0.10995054244995117,0.0014604644291864191,0.17170727252960205,0.17170727252960205,0.15907655656337738,162,3,70,47.0,0,0,0.0
25,0.0,0.0,,0.1371999979019165,36.28128004074098,-0.0002329036835915752,-0.21339571526281945,-0.21339571526281945,-0.21059682493187173,3,6,48,17.666666666666668,2,16,15.5
26,0.0,0.0,,0.47734999656677246,0.39949893951416016,0.0015077045309481044,0.29349061846733093,0.29349061846733093,0.30293673276901245,76,8,19,12.125,0,0,0.0
9,0.0,0.0,,0.13335013389587402,25.911017894744866,-0.0008340915402068141,-0.11850005966701588,-0.11850005966701588,-0.10854221772456517,16,5,95,42.6,1,22,22.0
23,0.0,0.0,,0.5984997749328613,2.0956573486328125,0.0019411325919806506,0.227570042014122,0.227570042014122,0.20911313593387604,228,8,32,14.625,0,0,0.0
17,1.0,0.0,,0.3343498706817627,1.6115500926971436,0.0009277102039221732,0.07151435315608978,0.07151435315608978,0.0656566470861435,186,7,67,31.0,0,0,0.0
1,1.0,0.0,,0.4273998737335205,0.276150107383728,0.0006156129328475397,0.0977949537808382,0.0977949537808382,0.10325515826543175,230,6,54,32.333333333333336,1,14,14.0
23,0.0,0.0,,0.31960010528564453,8.329355716705322,0.00035083779706528536,0.0036073112860322,0.0036073112860322,0.01942332647740841,141,8,35,14.0,0,0,0.0
4,0.0,0.0,,0.10465002059936523,20.282504320144653,4.591351507238964e-06,-0.3382125496864319,-0.3382125496864319,-0.3563234210014343,233,9,21,12.222222222222221,0,0,0.0
1,1.0,0.0,,0.3785998821258545,0.9010499715805054,-0.001265786408609915,-0.07347170863976459,-0.07347170863976459,-0.06785951290053394,111,6,55,31.0,2,18,16.0
5,0.0,0.0,,0.3827505111694336,3.040445327758789,-0.0012811299198969043,0.0033957285340875387,0.0033957285340875387,0.0002435366332065314,26,12,28,14.5,0,0,0.0
4,0.0,0.0,,0.0,73.88528800010681,-0.00213760810129041,-0.7795259952545166,-0.7795259952545166,-0.7647664546966553,0,12,14,10.333333333333334,0,0,0.0
5,0.0,0.0,,0.9028316085988823,4.37800145149231,0.0017395048297694535,0.13621896530505473,0.13621896530505473,0.1289551008618877,200,9,43,20.444444444444443,1,16,16.0
9,0.0,0.0,,0.3981504440307617,0.02729940414428711,0.00035199220440323975,0.17466825246810913,0.17466825246810913,0.15681682527065277,95,7,28,16.0,0,0,0.0
25,0.0,0.0,,0.11514997482299805,4.674700021743774,-0.02193626480524199,-1.9744853563449554,-1.9744853563449554,-1.8615356804144505,24,4,38,17.25,0,0,0.0
14,0.0,0.0,,0.9069000482559204,0.23614978790283203,0.0013065067015494492,0.45334101829850726,0.45334101829850726,0.4621533018169981,107,9,27,17.11111111111111,1,21,21.0
14,0.0,0.0,,0.3468499183654785,0.29449892044067383,0.0009477731306419004,0.10585047424091065,0.10585047424091065,0.09618408805445616,232,2,188,109.0,1,18,18.0
4,0.0,0.0,,0.09630012512207031,26.81729483604431,-0.0031863595310157463,-0.38937079906463623,-0.38937079906463623,-0.36331653594970703,2,9,35,13.333333333333334,0,0,0.0
10,1.0,0.0,,0.039549827575683594,14.140552043914795,-0.0028635663256703896,-0.4446555793536866,-0.4446555793536866,-0.41518277486165367,69,7,47,19.142857142857142,1,4,4.0
4,0.0,0.0,,0.32719993591308594,3.797201633453369,0.00027027313783437756,0.048062004148960114,0.048062004148960114,0.05670998990535736,228,13,19,11.615384615384615,0,0,0.0
16,1.0,0.0,,0.03294992446899414,71.64328241348267,-0.0006453937695413815,-0.4441147744655609,-0.4441147744655609,-0.43714678287506104,4,5,146,46.4,0,0,0.0
17,1.0,0.0,,0.13399982452392578,1.2504000663757324,-0.0021447040444293425,-0.12952439090873621,-0.12952439090873621,-0.09110316921163489,175,6,57,31.5,1,15,15.0
24,1.0,0.0,,0.4284999370574951,0.4946000576019287,0.0010587026807093326,0.1357913613319397,0.1357913613319397,0.13241003453731537,165,9,45,21.88888888888889,0,0,0.0
18,1.0,0.0,,0.12104988098144531,32.91559410095215,-0.0002582782648566632,-0.2256617546081543,-0.2256617546081543,-0.22610661387443542,3,5,93,41.2,0,0,0.0
18,1.0,0.0,,0.9838497638702393,1.1660523414611816,0.003917944244163819,0.4827072650571413,0.4827072650571413,0.46195324261983234,166,10,23,10.8,1,8,8.0
9,1.0,0.0,,0.3429999351501465,1.558546859413478,0.0007737299512926318,0.11275001014838239,0.11275001014838239,0.09678334181030716,200,11,30,13.090909090909092,1,16,16.0
18,1.0,0.0,,1.0682499408721924,2.3481533527374268,0.001545249594829805,0.27387037910992584,0.27387037910992584,0.25717146131727436,152,8,26,15.75,1,17,17.0
12,0.0,0.0,,0.24919986724853516,1.5139071941375732,-5.197335762722863e-05,0.02326727844774723,0.02326727844774723,0.02572307549417019,199,10,39,20.6,0,0,0.0
13,0.0,0.0,,0.4606803996222357,0.0,-0.0003288149011166717,0.23185437238669093,0.23185437238669093,0.23252349240439282,76,5,100,44.4,0,0,0.0
12,1.0,0.0,,0.2237997055053711,34.544421672821045,0.0018111513337899187,-0.1964138299226761,-0.1964138299226761,-0.17025350034236908,232,13,24,14.23076923076923,0,0,0.0
14,0.0,0.0,,0.25239992141723633,7.9322516091574915,0.0008503773418104684,0.006695939518731359,0.006695939518731359,0.00724227174740412,216,7,54,22.142857142857142,1,122,122.0
26,0.0,0.0,,0.08664989471435547,4.187450528144836,-0.002795666661349167,-0.2717390842578582,-0.2717390842578582,-0.26389577521218194,30,12,25,12.5,1,20,20.0
25,0.0,0.0,,0.32915008068084717,3.8500499725341797,-0.009744932771279484,-0.5756208443943458,-0.5756208443943458,-0.5059150775575245,12,7,48,16.142857142857142,2,16,11.0
24,1.0,0.0,,0.2579498291015625,0.36260008811950684,4.589409565368907e-05,0.1297484983371783,0.1297484983371783,0.11310465303231118,222,3,74,41.333333333333336,1,74,74.0
1,1.0,0.0,,0.18009984493255615,3.590247631072998,-0.0004062119771597442,-0.046246789678742614,-0.046246789678742614,-0.04228787788977992,72,11,49,15.909090909090908,1,14,14.0
7,1.0,0.0,,0.1129002571105957,16.68925142288208,-0.0011121545441775118,-0.08874410390853882,-0.08874410390853882,-0.07207664102315903,34,3,44,38.333333333333336,0,0,0.0
6,0.0,0.0,,0.15664982795715332,100.40975141525269,-0.009017759967088717,-0.7145723823756608,-0.7145723823756608,-0.6746733193275257,38,6,59,25.666666666666668,1,25,25.0
19,1.0,0.0,,0.17561256885528564,10.838499069213867,-0.008023450234640747,-0.47342752504952346,-0.47342752504952346,-0.42819806948686256,117,5,95,29.0,1,12,12.0
15,1.0,0.0,,0.0518498420715332,27.11511254310608,-0.0013940020143726663,-0.22842759170612706,-0.22842759170612706,-0.22348323492776778,53,9,28,15.333333333333334,1,20,20.0
13,1.0,0.0,,0.4491370295690107,8.250447225747834,0.0009256307230062799,0.044689813243688925,0.044689813243688925,0.06396498585631889,129,7,34,17.142857142857142,1,120,120.0
7,1.0,0.0,,0.4143998622894287,0.0,0.0009369692775179757,0.22974968157740083,0.22974968157740083,0.20886573844485815,185,4,97,42.5,1,23,23.0
19,0.0,0.0,,0.07270002365112305,27.194802284240723,-0.000532790342524546,-0.15263239391745395,-0.15263239391745395,-0.16199064155419668,20,11,18,11.727272727272727,1,79,79.0
13,0.0,0.0,,0.5167500972747803,0.634866537680991,0.0014451264253157782,0.12104917880352037,0.12104917880352037,0.11180077567467327,227,3,100,64.33333333333333,1,24,24.0
19,1.0,0.0,,1.4881501197814941,1.605351448059082,0.007152002037420774,0.6893095374107361,0.6893095374107361,0.6858965754508972,227,6,19,14.166666666666666,0,0,0.0
15,1.0,0.0,,1.1882500648498535,0.20814979076385498,0.004547049075596594,0.7758143101563434,0.7758143101563434,0.7547530541419983,216,10,28,15.7,1,39,39.0
19,0.0,0.0,,0.32130002975463867,20.878543376922607,-0.0006040297358568695,-0.07581811212789158,-0.07581811212789158,-0.062401731390702035,33,12,33,12.25,1,18,18.0
22,0.0,0.0,,0.3624999523162842,0.544950008392334,-0.0025583127316303037,0.05928821805157239,0.05928821805157239,0.06292726123143755,90,7,86,21.142857142857142,1,16,16.0
23,0.0,0.0,,0.12424993515014648,16.21954333782196,-0.0007691718298699855,-0.11180033713956421,-0.11180033713956421,-0.12038340703815428,235,6,95,28.166666666666668,1,46,46.0
9,0.0,0.0,,0.3762497901916504,3.9860086503781766,0.0011845119844014753,-0.00025557767489791235,-0.00025557767489791235,0.010236696586766373,196,6,55,22.0,1,16,16.0
9,0.0,0.0,,0.07824993133544922,5.186700105667114,-0.005064339347805116,-0.4824723681820093,-0.4824723681820093,-0.3912001212437948,25,7,41,30.571428571428573,1,7,7.0
26,0.0,0.0,,0.3161497116088867,0.0,0.0008165553572189669,0.14111877977848053,0.14111877977848053,0.12608979642391205,189,2,188,113.0,0,0,0.0
24,1.0,0.0,,0.0,84.87374424934387,-0.004254900389272379,-1.4986224174499512,-1.4986224174499512,-1.4431698322296143,0,6,32,22.5,0,0,0.0
7,1.0,0.0,,0.8220500946044922,0.00839996337890625,0.002426618055855686,0.5459700226783752,0.5459700226783752,0.5359334349632263,205,9,52,19.22222222222222,0,0,0.0
22,0.0,0.0,,0.12810003757476807,16.61436438560486,-0.00017561179694548174,-0.06671923373821918,-0.06671923373821918,-0.05919668678383916,106,5,37,24.8,1,28,28.0
13,0.0,0.0,,0.4609999656677246,0.37721642402753375,-0.0004335807409598895,0.021002470943998187,0.021002470943998187,0.015787762959029786,200,8,32,16.625,1,72,72.0
3,1.0,0.0,,0.2896997928619385,2.8738120872466295,0.0013765439818914662,0.08640854821426457,0.08640854821426457,0.09166171042645566,231,4,40,29.5,1,121,121.0
23,0.0,0.0,,0.31599950790405273,0.03704977035522461,0.0013610166409989178,0.17439064383506775,0.17439064383506775,0.1738632172346115,218,1,111,111.0,0,0,0.0
26,0.0,0.0,,0.27409982681274414,5.126453399658203,0.0010756951165347705,0.05340919643640518,0.05340919643640518,0.06066325679421425,141,6,19,10.0,0,0,0.0
17,1.0,0.0,,0.43939995765686035,20.162246465682983,0.0021815401683176147,-0.016486050561070442,-0.016486050561070442,-0.015906667336821556,161,7,26,14.714285714285714,0,0,0.0
3,0.0,0.0,,0.2597498893737793,9.618852482901678,-0.00040869546161380186,-0.02692445773112623,-0.02692445773112623,-0.02925350930955671,143,9,32,13.11111111111111,1,17,17.0
15,1.0,0.0,,0.48454999923706055,2.617448329925537,0.002005770117993176,0.12217071652412415,0.12217071652412415,0.12671667337417603,222,11,31,17.0,0,0,0.0
4,0.0,0.0,,0.1739501953125,25.37348461151123,-0.0012227726775218158,-0.22952577471733093,-0.22952577471733093,-0.23087315261363983,34,11,21,11.545454545454545,0,0,0.0
1,1.0,0.0,,0.3574998378753662,8.663197014506173,0.001647572795779782,0.112561752524557,0.112561752524557,0.0781745757780919,172,7,64,29.714285714285715,1,48,48.0
4,0.0,0.0,,0.7612001895904541,0.0003001689910888672,0.0017340839381013854,0.4325295090675354,0.4325295090675354,0.4419666826725006,207,9,19,11.444444444444445,0,0,0.0
24,0.0,0.0,,0.379349946975708,1.8185529708862305,0.0013823340114447777,0.10154083371162415,0.10154083371162415,0.10399658232927322,224,7,63,28.142857142857142,0,0,0.0
1,1.0,0.0,,0.44460010528564453,2.9272966487498238,0.0016976519948841166,0.1539279579613279,0.1539279579613279,0.12968528880348681,153,10,39,19.1,2,78,46.0
24,1.0,0.0,,0.2577497959136963,0.45745015144348145,0.0003743043186945878,0.10079767554998398,0.10079767554998398,0.0957433208823204,151,11,25,15.454545454545455,0,0,0.0
25,0.0,0.0,,0.41508164189078567,1.2020013332366943,0.00032704187004032383,0.0011442326292206914,0.0011442326292206914,-0.037087195569818654,183,4,55,37.25,1,19,19.0
23,0.0,0.0,,0.13074970245361328,0.034999847412109375,-4.076377409011649e-05,0.06669275462627411,0.06669275462627411,0.06717345118522644,116,2,129,69.5,0,0,0.0
4,0.0,0.0,,0.794450044631958,0.6013991832733154,0.002409607429759415,0.3291064202785492,0.3291064202785492,0.3188234269618988,161,9,33,10.666666666666666,0,0,0.0
24,0.0,0.0,,0.31600022315979004,0.1768496036529541,0.001202233383251874,0.09370058498302089,0.09370058498302089,0.11593829426219256,176,3,79,52.0,1,34,34.0
6,0.0,0.0,,0.8370001316070557,1.9458446143424672,0.00035505163085330785,0.3591581266137618,0.3591581266137618,0.37637121540307,107,7,34,17.0,1,72,72.0
26,0.0,0.0,,0.3025999069213867,1.830251932144165,0.00019052804770789322,0.04340880736708641,0.04340880736708641,0.038006607443094254,131,11,27,14.090909090909092,0,0,0.0
14,0.0,0.0,,0.3240499496459961,0.5714502334594727,0.0012255709305394574,0.008201774162582205,0.008201774162582205,0.007838579916184921,187,5,60,33.4,1,30,30.0
