participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
9,0.0,0.0,,0.7285500764846802,0.40540003776550293,0.001319707277286114,0.35642687346087115,0.35642687346087115,0.35940327658169513,209,13,37,18.923076923076923,1,23,23.0,0,0.0,0.0,0.0
17,1.0,0.0,,0.24824976921081543,93.54575526714325,-0.005029878465878249,-0.3953134542753716,-0.3953134542753716,-0.38751259115007186,184,9,57,25.555555555555557,1,15,15.0,1,10.5,7.91859150945475,34.11428498737356
19,1.0,0.0,,0.5682499408721924,64.98575723171234,0.0039788954631877465,-0.3330961596064207,-0.3330961596064207,-0.3149057607779439,331,7,22,15.285714285714286,1,86,86.0,0,0.0,0.0,0.0
19,1.0,0.0,,0.21681249141693115,34.149998903274536,-0.0035068437366166452,-0.2243360925455387,-0.2243360925455387,-0.24554785976441806,249,6,223,47.0,1,12,12.0,0,0.0,0.0,0.0
17,1.0,0.0,,0.0,18.97659945487976,-0.0010028546060772737,-0.9953625202178955,-0.9953625202178955,-0.968986988067627,0,11,37,16.818181818181817,0,0,0.0,2,7.25,3.8774898241552447,20.002845988163152
8,1.0,0.0,,0.6407003402709961,11.945650100708008,0.0012873344104581698,0.0969533622264862,0.0969533622264862,0.09844779968261719,348,13,65,17.692307692307693,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,0.6092500686645508,0.5448501110076904,-0.000809513317784233,0.1628555920945496,0.1628555920945496,0.16085139737612958,29,10,94,31.4,1,23,23.0,0,0.0,0.0,0.0
23,0.0,0.0,,0.29745006561279297,15.86949110031128,-0.0006011113430343252,-0.054755090999336134,-0.054755090999336134,-0.04902220915452695,350,9,57,27.77777777777778,1,46,46.0,0,0.0,0.0,0.0
23,0.0,0.0,,0.0541996955871582,6.1389501094818115,-0.011421106031347203,-1.0808558423979944,-1.0808558423979944,-1.0948334678830838,21,4,152,64.5,1,32,32.0,0,0.0,0.0,0.0
16,0.0,0.0,,0.6146498918533325,2.8973506689071655,-0.0011651812567887363,0.19771814112569772,0.19771814112569772,0.19869096878838038,60,15,24,12.466666666666667,1,26,26.0,0,0.0,0.0,0.0
19,0.0,0.0,,0.13179993629455566,65.63211059570312,-0.0005765295421743677,-0.37064677426794995,-0.37064677426794995,-0.3786263109549232,3,14,47,16.0,1,79,79.0,1,9.0,4.645869617458768,24.311980363067214
24,0.0,0.0,,0.3271498680114746,141.27812583744526,-0.008117650245975886,-0.9132593945294869,-0.9132593945294869,-0.8926934674277713,117,13,76,20.846153846153847,2,30,18.5,1,7.0,4.08260761624911,19.07706036396269
21,0.0,0.0,,0.5383999347686768,1.268275316556295,0.002094786378162624,0.11989293612685858,0.11989293612685858,0.12049676932207994,290,4,127,54.75,1,21,21.0,0,0.0,0.0,0.0
3,0.0,0.0,,0.517650303087736,1.300295516064292,0.0009255371636569804,0.24120069418300769,0.24120069418300769,0.23514142625664686,121,14,46,18.0,1,18,18.0,0,0.0,0.0,0.0
6,0.0,0.0,,0.0,67.27996158599854,-0.0023526405263298296,-0.7164366245269775,-0.7164366245269775,-0.6976370811462402,0,16,37,12.875,0,0,0.0,0,0.0,0.0,0.0
3,0.0,0.0,,0.714749813079834,0.08004999160766602,0.00034835369774426246,0.5068666644457007,0.5068666644457007,0.5038912296295166,351,10,46,24.8,1,14,14.0,0,0.0,0.0,0.0
13,0.0,0.0,,0.6393383833078232,0.7475013732910156,0.0006066843305215687,0.3346691959712352,0.3346691959712352,0.3366221028677425,347,8,100,37.875,1,24,24.0,0,0.0,0.0,0.0
16,0.0,0.0,,0.6449499130249023,1.6200001239776611,-0.0017258784399232239,0.10986695436536431,0.10986695436536431,0.06216858555355881,282,11,89,24.09090909090909,1,38,38.0,0,0.0,0.0,0.0
25,0.0,0.0,,0.4167719752821206,25.881598230484617,-0.0008021388320902687,-0.06781645198496115,-0.06781645198496115,-0.05970695593506132,321,13,38,15.0,2,68,42.5,0,0.0,0.0,0.0
19,0.0,0.0,,0.5520999431610107,0.32905101776123047,-0.00011451011144613152,0.1706100338313426,0.1706100338313426,0.17177705688389275,81,20,33,11.1,1,18,18.0,0,0.0,0.0,0.0
3,0.0,0.0,,0.5422500936608561,0.1560505231221514,0.0001634389838313103,0.29333801930692016,0.29333801930692016,0.2717629768391951,74,13,39,16.076923076923077,2,18,17.5,0,0.0,0.0,0.0
13,0.0,0.0,,0.12910032272338867,193.0048418045044,-0.004952907563136194,-0.6899513602256775,-0.6899513602256775,-0.6891608238220215,142,10,104,33.1,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,0.033049821853637695,142.56325912475586,-0.0025922775163501346,-0.6853895507940725,-0.6853895507940725,-0.671570967144661,17,10,50,28.1,1,44,44.0,1,7.0,3.8610098219142417,20.649249378109758
18,1.0,0.0,,1.0056495666503906,0.17750024795532227,0.00013955084611592494,0.510790228843689,0.510790228843689,0.4783390164375305,124,16,23,11.375,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,0.1651625377791266,27.94654607772827,-0.0007630380166329568,-0.14965031627847367,-0.14965031627847367,-0.1311725389735299,28,13,52,17.0,1,27,27.0,0,0.0,0.0,0.0
7,0.0,0.0,,0.7905502319335938,0.9382998943328857,-0.0008043334085676079,0.24447613403576762,0.24447613403576762,0.24052046466613528,281,9,82,29.666666666666668,2,29,25.0,1,9.0,4.0158585503654205,20.630492197951003
12,1.0,0.0,,0.6696000099182129,1.4917503595352173,-0.0006456664843417529,0.20681793666353412,0.20681793666353412,0.1936334188587543,194,19,41,14.68421052631579,1,38,38.0,0,0.0,0.0,0.0
