participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
18,1.0,0.0,,0.100350022315979,9.613142013549801,-0.0017894477379684886,-0.1319117984201154,-0.1319117984201154,-0.1467848688364029,67,2,31,26.5,1,9,9.0,0,0.0,0.0,0.0
23,0.0,0.0,,0.0876002311706543,17.417943716049194,-0.002589208356329677,-0.20625804364681244,-0.20625804364681244,-0.209774911403656,15,6,20,11.833333333333334,0,0,0.0,0,0.0,0.0,0.0
19,1.0,0.0,,0.04355001449584961,7.063000679016113,-0.011762276820418744,-0.8661454916000366,-0.8661454916000366,-0.8533188104629517,1,6,28,14.166666666666666,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,0.4435997009277344,0.0,0.002395568999949159,0.3260945975780487,0.3260945975780487,0.29921847581863403,86,6,18,10.333333333333334,0,0,0.0,0,0.0,0.0,0.0
3,1.0,0.0,,0.16434955596923828,0.3578500747680664,-0.002303416258524644,-0.023582184687256813,-0.023582184687256813,-0.030343830585479736,81,4,40,17.25,0,0,0.0,0,0.0,0.0,0.0
13,1.0,0.0,,0.01787049293518095,5.250720148086549,0.0018503201823247017,-0.12065300370892908,-0.12065300370892908,-0.1063939519723257,93,3,18,13.0,1,23,23.0,0,0.0,0.0,0.0
18,1.0,0.0,,0.31925010681152344,12.286847829818726,-0.0038205700948660015,-0.29021510201641637,-0.29021510201641637,-0.29699890315532684,2,1,7,7.0,1,5,5.0,0,0.0,0.0,0.0
9,1.0,0.0,,0.24790048599243164,1.665794849395752,0.0025230944991820985,0.059282660484313965,0.059282660484313965,0.08470642566680908,115,2,53,30.5,0,0,0.0,0,0.0,0.0,0.0
19,0.0,0.0,,0.40690016746520996,1.052648809221056,0.004371960465375098,0.0992722766012208,0.0992722766012208,0.08573439882861245,89,5,18,10.6,1,17,17.0,1,7.0,4.477117743059004,19.767317787137742
1,1.0,0.0,,0.2019500732421875,0.4055994749069214,0.0007320734263067874,0.03373639502077021,0.03373639502077021,0.021565322692577604,71,2,76,42.5,1,14,14.0,0,0.0,0.0,0.0
