participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
25,0.0,0.0,,0.19549989700317383,3.3818001747131348,-0.006399458864395148,-0.3138149282600306,-0.3138149282600306,-0.26839024632476094,154,6,45,24.666666666666668,1,42,42.0,0,0.0,0.0,0.0
25,0.0,0.0,,0.446381709792397,0.42834997177124023,0.00037717459614504666,0.03470020857541369,0.03470020857541369,0.060491598519411924,192,3,55,44.333333333333336,1,19,19.0,1,10.5,3.5469122071484187,11.982463594024846
22,0.0,0.0,,0.06464958190917969,1.6202001571655273,-0.004724109726399672,-0.19540339708328247,-0.19540339708328247,-0.16386686265468597,146,1,185,185.0,0,0,0.0,0,0.0,0.0,0.0
19,0.0,0.0,,0.3838052122216471,0.30229997634887695,-0.0008600209174965738,0.08647206815486216,0.08647206815486216,0.09589561746831526,44,8,28,13.0,1,18,18.0,0,0.0,0.0,0.0
23,0.0,0.0,,0.4825000762939453,1.6221067905426025,7.486861177641475e-05,0.13679075241088867,0.13679075241088867,0.10127650946378708,34,7,14,9.857142857142858,0,0,0.0,1,10.0,2.5071485016493233,20.950700766918622
23,0.0,0.0,,0.16769981384277344,11.977994918823242,0.0005470014945149418,-0.09765332811492405,-0.09765332811492405,-0.0844806512361826,235,6,57,26.5,1,46,46.0,0,0.0,0.0,0.0
5,0.0,0.0,,0.7580499649047852,0.16705024242401123,0.002267576605486958,0.27635520369694705,0.27635520369694705,0.24258187165734366,233,11,36,15.909090909090908,1,17,17.0,0,0.0,0.0,0.0
15,1.0,0.0,,0.6577000617980957,0.1615999937057495,6.0546841528663654e-05,0.13352144116590797,0.13352144116590797,0.13553617971558723,140,9,31,21.666666666666668,1,30,30.0,0,0.0,0.0,0.0
15,0.0,0.0,,0.008649826049804688,111.63296794891357,-0.001543187399858026,-0.9272541999816895,-0.9272541999816895,-0.8913935422897339,2,11,32,13.727272727272727,0,0,0.0,0,0.0,0.0,0.0
10,1.0,0.0,,0.7404003143310547,0.4304471015930176,0.0027647677121045355,0.33168671100954467,0.33168671100954467,0.29748396532876153,140,11,50,14.636363636363637,1,20,20.0,1,8.5,3.4278285588157433,20.145733703318417
17,1.0,0.0,,0.11544990539550781,35.122496604919434,-0.0017595139008348408,-0.2204887866973877,-0.2204887866973877,-0.21118666231632233,27,5,28,15.4,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,0.6433501243591309,0.09704971313476562,-0.0006440056087194033,0.22484299200999586,0.22484299200999586,0.2148275554782213,73,7,27,17.428571428571427,1,21,21.0,0,0.0,0.0,0.0
25,0.0,0.0,,0.4203317382118916,0.922799825668335,0.0003863669613707675,-0.018786683364256526,-0.018786683364256526,-0.029040049206126815,121,5,57,22.2,1,19,19.0,1,11.5,5.076104902161073,19.969158358993738
26,0.0,0.0,,0.4365501403808594,0.12335014343261719,0.0013130929616572782,0.24555511615447354,0.24555511615447354,0.2370766673812769,121,7,62,27.142857142857142,1,28,28.0,0,0.0,0.0,0.0
9,0.0,0.0,,0.23235023021697998,5.004899859428406,-0.0023506315830965144,-0.06518593719739954,-0.06518593719739954,-0.010399858156840006,34,6,95,37.333333333333336,1,4,4.0,0,0.0,0.0,0.0
